regime,candidate_model,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,false_discovery_rate,total_rows
LEGACY,logistic_unweighted,0.9,101,57,5920,2151,0.639240506329114,0.0448490230905861,0.0838174273858921,0.990463443198929,158,0.0192003888686353,0.360759493670886,8229
LEGACY,logistic_unweighted,0.91,87,54,5923,2165,0.617021276595745,0.0386323268206039,0.0727120768909319,0.990965367241091,141,0.017134524243529,0.382978723404255,8229
LEGACY,logistic_unweighted,0.92,78,49,5928,2174,0.614173228346457,0.0346358792184725,0.0655737704918033,0.99180190731136,127,0.0154332239640297,0.385826771653543,8229
LEGACY,logistic_unweighted,0.93,70,42,5935,2182,0.625,0.0310834813499112,0.0592216582064298,0.992973063409737,112,0.0136104022359947,0.375,8229
LEGACY,logistic_unweighted,0.94,63,33,5944,2189,0.65625,0.0279751332149201,0.0536626916524702,0.994478835536222,96,0.011666059059424,0.34375,8229
LEGACY,logistic_unweighted,0.95,53,27,5950,2199,0.6625,0.0235346358792185,0.0454545454545455,0.995482683620545,80,0.00972171588285332,0.3375,8229
LEGACY,logistic_unweighted,0.96,40,21,5956,2212,0.655737704918033,0.0177619893428064,0.0345871162991786,0.996486531704869,61,0.00741280836067566,0.344262295081967,8229
LEGACY,logistic_unweighted,0.97,24,17,5960,2228,0.585365853658537,0.0106571936056838,0.0209332751853467,0.997155763761084,41,0.00498237938996233,0.414634146341463,8229
LEGACY,logistic_unweighted,0.98,22,10,5967,2230,0.6875,0.00976909413854352,0.0192644483362522,0.998326919859461,32,0.00388868635314133,0.3125,8229
LEGACY,logistic_unweighted,0.99,8,4,5973,2244,0.666666666666667,0.00355239786856128,0.00706713780918728,0.999330767943785,12,0.001458257382428,0.333333333333333,8229
LEGACY,logistic_unweighted,1,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,logistic_balanced,0.01,2251,5964,13,1,0.274010955569081,0.99955595026643,0.430113690646795,0.00217500418270035,8215,0.998298699720501,0.725989044430919,8229
LEGACY,logistic_balanced,0.02,2251,5960,17,1,0.27414444038485,0.99955595026643,0.430278122909299,0.00284423623891584,8211,0.997812613926358,0.72585555961515,8229
